anonyme_Source,anonyme_Target,Weight
77867,107208,12
48349,59993,5
39869,4881,18
7439,92522,5
96821,107965,5
2502,25324,5
43661,53067,6
40067,70974,13
103353,95837,5
108458,109173,7
52687,86428,22
96029,12511,14
108870,8568,14
63001,57453,10
72111,57893,7
38187,17205,6
83813,71516,6
16078,71037,5
108763,11550,6
86531,3634,6
112989,29497,10
49019,12750,10
109322,24361,5
80315,71281,6
36617,45715,7
1908,110262,5
95420,856,16
60731,50334,5
34100,25013,5
15216,15248,17
11026,28951,11
22332,82350,5
87727,22317,5
69744,38261,5
45935,3175,45
93977,8533,6
61952,85105,10
61452,19759,7
25507,12750,5
105953,25175,6
91589,103436,11
16788,29977,6
102641,112503,6
24197,102612,7
110815,52736,5
23993,22877,6
35733,67219,17
46600,7844,23
39338,107121,11
55689,67369,6
75158,78398,5
92561,62431,6
96114,37103,6
21056,108460,9
97541,94705,23
83886,112604,5
36058,102214,8
41770,25658,5
52042,96600,6
7900,91790,13
97719,15001,7
30645,102346,8
62505,71244,5
32163,24605,13
56067,58817,6
33292,52544,6
33013,112826,6
6391,54821,5
27538,28555,12
67340,54805,5
82265,70974,12
47614,35594,5
59283,35594,6
780,66474,9
21617,28099,6
93394,37840,7
67249,86428,7
26154,35594,7
57565,398,16
42436,35594,5
102322,22341,73
57103,35594,6
60093,109883,5
105629,71516,8
84257,107208,6
97048,70974,11
15216,42583,14
51254,9621,6
5220,105654,5
43871,100029,28
46843,48549,6
103235,41844,10
56392,4791,8
90948,78102,7
97448,95652,7
56074,33948,13
47544,73285,5
60175,33595,10
89940,15001,11
94522,27584,7
88170,109837,5
32482,80654,6
75001,7405,9
32177,5190,5
10158,39956,5
22198,43951,5
96980,93059,5
43803,23092,5
22849,93059,9
71485,79947,11
62988,41934,20
81058,44852,5
55271,84535,5
29448,57453,7
109216,5541,6
1774,8728,7
98720,77824,5
93366,100766,10
57387,93059,14
67061,8533,5
76863,15001,5
97001,5190,14
77978,76715,6
35969,70974,6
95826,57893,7
112973,56832,7
92614,12511,6
46262,84840,12
106310,82214,5
84668,108538,8
56401,41488,5
46840,85619,33
66153,20278,8
23214,28951,6
23490,96400,6
9104,82312,7
65110,86428,6
12146,72702,8
85198,99114,7
74163,82312,7
86539,36415,13
33663,82174,7
92542,54494,16
83221,67562,5
50125,79912,6
92320,10200,7
89356,107202,6
52773,85645,6
73337,3175,41
95709,8728,29
43595,35796,5
101230,42966,5
41009,96450,5
64620,81167,7
70723,4965,6
52703,1367,14
95953,15877,5
28720,46050,5
39524,32487,7
89031,76464,5
82381,67369,11
112854,97351,15
9447,4909,9
36513,37757,11
83051,102310,5
100351,37757,9
47806,86428,5
42650,103436,11
17522,81225,7
73736,62766,8
20916,23964,9
112838,96809,10
18975,25060,7
32227,29977,8
76027,69391,6
54808,7844,9
85778,66853,12
38262,82702,11
21746,37414,5
16109,43530,9
34443,10827,8
34542,38261,6
91252,88672,8
46382,86428,5
50316,38261,12
110711,97184,9
28743,108590,9
110152,25013,9
85264,75227,6
1576,79586,5
57192,1578,7
92565,20920,5
102913,37757,7
68549,35594,9
306,33795,5
20175,107223,11
47278,55575,8
54925,100708,9
38500,102346,5
77347,15001,5
83243,97861,6
61639,58307,14
