anonyme_Source,anonyme_Target,Weight
15346,11891,1
7957,7957,239
10466,11818,1
6721,15551,13
15401,2206,1
8710,10900,1
15932,11894,2
17371,9371,1
1020,1020,3
6362,1631,1
11962,12038,5
2060,3387,9
10321,2703,2
1436,17033,2
5757,13341,2
9724,14576,2
1132,977,2
7275,11327,1
7866,12692,1
16310,357,4
12986,7702,1
14521,14521,1
1491,13694,1
16670,17057,1
3346,2953,8
15816,11088,3
1531,1531,16
15551,16707,1
6823,16757,1
109,10353,2
7047,5350,1
17093,17142,1
18519,18519,2
13243,8237,5
426,3826,2
16445,18561,3
9537,16850,1
13560,16613,1
4508,4620,1
2457,14464,3
14817,13921,1
14705,6390,1
8324,1799,1
15334,5130,1
15250,6216,1
15044,6282,1
12131,6320,4
6125,17524,1
15950,2395,1
8608,3688,1
9328,12604,1
1516,6565,1
11025,6003,1
16338,7585,1
13718,16778,1
14111,5145,1
15211,3924,1
15546,2913,1
8917,8917,4
14628,13599,1
3768,8532,1
10169,8373,9
17608,17608,1
4049,9581,1
16585,14777,1
8775,14369,2
4718,4718,4
13091,313,2
10544,6520,1
18524,3595,1
4517,15880,4
15463,9921,1
3800,2395,1
5086,8181,1
9690,9708,3
13248,13509,2
8795,6800,1
491,12225,2
4069,4530,2
13091,3604,10
13438,7894,4
6167,3680,3
5406,5022,1
16766,18716,1
16866,4310,1
5564,2312,1
10556,7531,1
6881,13000,2
18269,2935,1
9709,12169,1
16080,7498,2
10653,3688,1
6146,16154,1
15716,9957,1
15760,4190,1
18738,977,1
6954,8845,4
8510,18563,1
14852,8827,1
11232,11232,3
5294,13584,1
734,6602,3
15673,14560,1
10201,17352,1
12802,2193,5
2754,654,1
13091,6262,1
3639,13838,1
14971,9560,1
12921,12921,7
14907,2913,10
4210,10032,2
3676,10001,1
15848,15848,4
7522,7522,4
14862,2543,1
14675,6266,1
6035,4868,1
8236,2092,2
16652,2513,1
4517,18465,3
251,5698,1
1132,11513,1
7227,7895,1
7312,17272,1
405,5958,1
7914,7914,6
2056,18445,1
2637,16588,1
15731,2113,1
14674,14942,1
9571,13458,3
5952,10889,4
17365,1540,1
3200,6135,1
6519,3087,1
6952,6952,1
14867,3901,1
16840,2081,1
4077,18711,1
10568,4901,1
11168,16353,1
9940,14464,1
13812,219,1
4659,6358,1
2127,4553,1
15855,10200,1
413,13442,1
7658,977,1
7674,6251,1
4711,9971,1
16456,2543,1
3844,10794,1
10937,2267,2
16350,6520,1
4787,5669,1
6922,6541,1
11944,12983,2
5792,5209,1
1314,1340,1
3736,3736,15
6800,13502,1
7567,5006,1
654,3844,1
8542,8542,2
8032,10241,1
4118,18400,1
15165,8575,1
498,15585,1
8268,17763,1
2557,18115,4
12862,8268,1
13431,5235,1
17763,5345,2
17632,3809,1
12345,8238,1
7177,7189,2
12117,13962,1
1994,1547,1
6187,4789,1
17945,2230,1
6344,8676,2
17897,6541,1
16325,11789,1
8171,5345,3
3079,3408,1
6089,14405,1
7131,14997,2
11396,11564,1
8457,11243,3
1027,1027,2
14334,9732,1
3565,10028,1
11055,8692,1
13590,11807,1
2665,5809,2
15954,8587,1
15538,7211,1
1132,8732,1
15551,8164,1
16954,15880,2
1412,14207,1
12099,14463,1
2610,7090,1
12616,1946,1
8380,10836,1
12604,11414,1
6763,14175,2
10456,4238,1
5607,9917,1
7708,1974,2
14496,16568,1
15902,14186,1
394,17937,1
16058,5736,1
9631,17484,1
10030,6344,1
11725,11305,1
9817,6868,1
5635,18656,1
15519,14954,1
4205,13292,1
5642,5467,1
8105,17528,1
15714,4571,1
17573,14646,1
5936,14272,1
18237,8354,1
14186,3489,1
10384,17998,1
18371,14698,1
12169,8434,1
7275,12496,3
5596,14016,1
4484,2627,1
4984,14516,1
14200,13026,1
10889,13921,1
7670,13820,1
12326,2721,1
15167,16941,1
886,6794,1
4256,16841,2
11833,2982,1
8186,5418,1
3775,6694,1
8589,14817,2
5412,2163,1
3231,10565,1
7607,9051,1
4482,13670,1
7281,3496,1
2635,8917,1
5579,17353,1
11182,16618,1
2942,820,1
1143,1143,1
8483,8483,1
17869,17869,1
14087,13936,1
13875,5125,1
17608,16232,1
5635,11553,1
16398,13819,1
16470,2217,1
15965,14542,1
18125,5428,1
7204,10531,1
12287,16797,1
17937,17701,1
4633,4633,1
18615,14907,1
5637,2842,1
10036,7293,1
6440,970,1
15929,14867,1
15897,6644,1
13294,4519,1
554,10390,1
3331,12690,1
7128,8862,1
7467,7311,1
13272,2770,1
2877,9666,1
5107,2423,1
8665,10889,1
15670,4490,1
177,5478,1
4632,5222,1
3579,4423,2
9735,17849,1
13285,6353,1
7643,13521,1
12185,13604,1
6379,13374,2
3680,18263,1
1799,18265,1
709,1021,1
2786,1799,1
15652,17523,1
12806,15210,1
643,305,1
13538,209,1
613,17813,1
3428,14387,1
18111,9139,1
16674,17763,1
14354,17763,2
6254,10321,1
14958,4592,1
13829,15205,1
4782,14093,1
2075,13811,2
9433,17176,1
15820,7734,1
6997,13222,1
7704,14126,1
3051,69,1
1080,11826,1
12921,17467,1
17093,15288,2
17022,18676,1
11690,467,1
10420,9692,1
17263,14200,3
10563,10710,1
7208,1106,1
5990,1384,1
13421,11461,2
3169,13685,1
11690,491,1
11601,16013,1
17421,4767,1
16797,13936,1
11663,17421,1
151,151,1
12980,7041,1
5140,15950,1
17776,17776,1
144,144,1
977,10796,1
5939,10418,1
10537,10479,1
9194,91,1
12438,17895,1
12535,9452,1
10256,13434,1
14464,2132,1
13753,12346,1
5334,2018,1
16344,5145,1
11606,7586,1
11694,15507,1
5363,2135,1
16825,16825,1
12693,7447,1
6523,16601,1
14397,18562,1
1821,10986,1
2206,7041,1
1176,6743,2
8236,6407,1
2772,6254,1
4173,6609,1
5406,15025,1
10792,14349,1
654,5252,1
10213,16874,1
10647,676,1
6758,5964,1
440,440,2
15171,12438,1
2975,9113,1
9958,734,1
7090,6777,1
3991,10482,1
4905,8599,1
6666,11543,1
16703,12654,1
932,639,1
10330,3297,1
1259,15040,1
15735,7783,1
16757,4099,1
8032,12467,1
13685,1687,1
17725,18780,1
2515,6837,1
10740,15084,1
10264,1298,1
297,7629,1
1584,12706,1
3078,16950,1
18516,3688,1
11098,12769,1
7618,10898,1
8862,4661,1
1937,2500,1
11294,3897,1
4428,5010,1
10179,13936,1
5922,11818,1
14715,2030,1
13468,4517,1
6747,12141,1
15092,6140,1
7407,11908,1
548,17444,1
11970,18149,1
16093,4882,1
15892,16128,2
12430,14635,8
2685,12500,1
7140,12537,1
8604,14246,1
8047,8244,1
15743,2913,1
13936,2703,3
2870,2870,43
665,13455,1
15274,15274,22
12562,11860,2
50,7411,4
4739,8047,1
8498,6204,1
12438,13936,2
17421,9347,1
15473,7699,1
16032,6700,1
13360,4392,1
13680,3853,1
10783,2457,2
3599,13718,1
5999,5626,1
15003,16190,1
12017,14867,2
1282,14386,1
8714,1005,1
5644,5219,7
8292,8033,1
12422,513,1
14641,5607,1
6639,14729,3
10080,7189,1
4954,13963,1
5406,9347,1
18269,16608,1
4001,14602,1
8663,17305,2
10016,14360,1
2754,6522,1
3318,13936,1
5434,4806,1
9302,8960,1
13272,5554,1
17263,16329,2
341,6063,1
18756,9570,3
6925,12444,1
11800,10131,1
14907,4787,1
3598,933,1
3680,3955,1
7170,7170,5
6747,8955,1
15572,13440,3
7633,1838,2
3276,5961,1
2557,12188,1
15925,16315,1
1964,17780,1
468,8151,1
6758,15296,1
18648,12002,1
14405,3688,2
14729,10420,1
14054,5624,1
14650,12207,1
12522,16402,2
11013,5492,1
8696,9042,1
2825,5150,1
4456,2950,3
1318,17408,1
7646,12744,1
16129,6684,1
6147,8171,1
6758,8354,1
15453,18350,1
304,304,2
13936,5554,1
8955,6159,2
17738,10684,1
977,156,1
11455,11455,1
6341,8217,5
4493,4493,2
5804,15019,3
8522,2943,1
14297,1689,1
9978,1175,2
10756,14624,1
6613,2093,1
2206,15908,1
17437,11713,1
17359,14403,1
5530,15222,1
15019,14450,1
1802,1802,1
7275,10436,1
6888,6888,2
14570,7221,1
16707,2395,1
17067,2468,1
6159,17536,2
9490,3448,7
14653,9475,1
13832,4569,1
15419,13739,1
1304,13176,2
292,8335,1
2408,4753,2
16376,4745,1
7663,11974,2
5636,7346,1
2719,5345,3
12738,1298,1
13423,18088,1
441,13939,1
2768,11546,1
12698,3141,1
7151,12511,1
9581,14087,1
1401,15638,1
10550,15835,1
791,8104,2
8845,11789,3
4841,4841,3
15813,14349,2
9778,12997,1
12258,5057,1
6107,3480,1
3644,14576,1
9086,16672,1
8223,15553,1
12604,5570,1
5241,5241,15
9031,13846,3
3020,6777,1
18343,12226,1
9139,15794,1
12531,12242,1
2610,7357,1
18733,17160,1
2232,4731,1
8830,16844,2
1208,14993,3
11243,3976,1
10515,9692,1
9393,5905,1
5822,14890,2
17519,15210,2
5156,5156,1
5775,3087,1
17098,11234,5
12598,14386,1
5747,12604,1
18268,9162,1
1392,12168,1
4517,6602,7
18349,5570,1
16329,17263,2
2036,8650,1
3593,17722,1
3581,15450,3
15561,6125,2
18029,639,1
5096,12355,1
11807,1899,1
5027,5027,9
3964,3882,1
16962,1940,1
11807,5086,1
8038,16372,1
16857,16166,1
6997,13991,1
16694,10738,1
8643,13072,1
11053,10276,1
13196,15216,1
17903,2093,1
2913,4267,4
14602,4001,1
6987,15019,1
6125,2029,1
14493,18822,1
1548,7784,1
12605,15720,1
10036,2201,1
9093,1958,3
1634,13968,1
2923,9796,1
14345,1842,4
6421,6421,1
13679,11809,1
9850,3944,1
1748,8014,1
13341,951,1
5426,2160,1
14587,4531,2
7715,15140,1
17350,11047,2
8153,10390,1
9620,17941,1
2497,5554,1
9360,4267,1
11498,2308,1
4719,1690,1
18590,18590,1
10740,17408,1
9598,15052,1
17452,8483,1
3681,1902,1
11753,3355,1
11895,15575,1
9606,15019,1
3688,16707,1
1939,15702,2
16232,1492,1
15609,14354,1
5256,16060,1
9505,12343,1
8799,12552,1
3844,12604,1
15726,5760,4
2953,10731,2
17028,15296,1
10594,11546,1
18159,3844,1
13160,15572,2
16180,356,1
11883,13069,2
17315,1112,1
4798,15351,1
9474,9666,1
13191,5140,2
10415,2913,1
6954,2582,1
16730,3864,1
18126,13956,1
10801,10801,1
10888,16844,1
166,15700,1
12706,739,2
503,2942,2
15625,14343,1
13139,7475,1
3665,481,1
1859,11654,1
6231,8860,1
8845,17093,1
16757,6823,1
14554,14949,1
17359,7250,2
16200,14085,1
5570,18008,1
16221,9603,1
16603,16279,1
1181,13763,1
12879,17047,1
2821,3231,1
3821,18696,1
15880,9483,1
2963,2963,1
8845,8105,2
10066,739,1
10666,12297,1
14026,4896,1
11928,11778,1
106,106,3
16073,17213,1
18746,11753,1
10610,6244,1
8872,5179,1
14424,18008,1
8219,2047,1
3640,14390,1
